171;0,708;7;0,966;7;4;Si;171;0,871;16;0,51;10;40;No;58;30;Si;171
172;0,171;5;0,689;5;4;Si;172;0,437;12;0,632;10;32;Si;59;26;Si;172
173;0,787;7;0,356;5;4;Si;173;0,321;12;0,571;10;34;No;59;26;Si;173
174;0,556;6;0,989;7;4;Si;174;0,999;16;0,622;10;39;No;59;30;Si;174
175;0,053;5;0,417;5;4;Si;175;0,441;12;0,608;10;32;Si;60;26;Si;175
176;0,951;8;0,745;5;4;Si;176;0,71;14;0,15;8;35;No;60;26;Si;176
177;0,547;6;0,656;5;4;Si;177;0,576;12;0,07;8;31;Si;61;24;Si;177
178;0,573;6;0,509;5;4;Si;178;0,026;10;0,562;10;31;Si;62;24;Si;178
179;0,09;5;0,623;5;4;Si;179;0,68;14;0,672;10;34;No;62;28;Si;179
180;0,109;5;0,233;5;4;Si;180;0,863;16;0,498;10;36;No;62;30;Si;180
181;0,998;8;0,323;5;4;Si;181;0,569;12;0,317;10;35;No;62;26;Si;181
182;0,428;6;0,294;5;4;Si;182;0,582;12;0,57;10;33;No;62;26;Si;182
183;0,002;5;0,313;5;4;Si;183;0,126;10;0,063;8;28;Si;63;22;Si;183
184;0,612;7;0,166;3;4;Si;184;0,172;10;0,669;10;30;Si;64;24;Si;184
185;0,078;5;0,9;7;4;Si;185;0,757;14;0,158;8;34;No;64;26;Si;185
186;0,686;7;0,621;5;4;Si;186;0,554;12;0,148;8;32;Si;65;24;Si;186
187;0,223;5;0,684;5;4;Si;187;0,657;14;0,588;10;34;No;65;28;Si;187
188;0,426;6;0,811;7;4;Si;188;0,693;14;0,612;10;37;No;65;28;Si;188
189;0,987;8;0,104;3;4;Si;189;0,429;12;0,597;10;33;No;65;26;Si;189
190;0,014;5;0,911;7;4;Si;190;0,898;16;0,588;10;38;No;65;30;Si;190
191;0,706;7;0,604;5;4;Si;191;0,026;10;0,899;10;32;Si;66;24;Si;191
192;0,633;7;0,963;7;4;Si;192;0,455;12;0,98;10;36;No;66;26;Si;192
193;0,397;6;0,895;7;4;Si;193;0,219;10;0,988;10;33;No;66;24;Si;193
194;0,18;5;0,291;5;4;Si;194;0,604;14;0,269;10;34;No;66;28;Si;194
195;0,749;7;0,854;7;4;Si;195;0,395;12;0,771;10;36;No;66;26;Si;195
196;0,664;7;0,29;5;4;Si;196;0,135;10;0,508;10;32;Si;67;24;Si;196
197;0,982;8;0,363;5;4;Si;197;0,503;12;0,369;10;35;No;67;26;Si;197
198;0,12;5;0,673;5;4;Si;198;0,242;10;0,971;10;30;Si;68;24;Si;198
199;0,981;8;0,043;3;4;Si;199;0,982;16;0,433;10;37;No;68;30;Si;199
200;0,669;7;0,185;3;4;Si;200;0,584;12;0,405;10;32;Si;69;26;Si;200
